epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.302,2.98926,2.68014,2.57776,0.66352,0.5791,0.62261,0.31154,3.5408,3.72722,3.61183,0.0674251,0.000664794,0.000664794
2,492.445,2.89508,1.92865,2.57293,0.83163,0.80519,0.88236,0.53524,2.75135,2.36314,2.92919,0.0347452,0.00131828,0.00131828
3,727.383,2.80935,1.753,2.54059,0.83685,0.80738,0.88708,0.51038,2.85016,1.84097,2.99083,0.0020522,0.00195856,0.00195856
4,962.859,2.76508,1.65408,2.51605,0.87065,0.84602,0.91674,0.58487,2.54828,1.56547,2.77675,0.0019406,0.0019406,0.0019406
5,1199.33,2.69246,1.54253,2.47919,0.89983,0.86097,0.92837,0.57824,2.53401,1.87428,2.77533,0.0019208,0.0019208,0.0019208
6,1440.37,2.64279,1.48208,2.45288,0.90018,0.8988,0.95229,0.62383,2.3459,1.25464,2.5583,0.001901,0.001901,0.001901
7,1676.57,2.58694,1.40193,2.42163,0.90842,0.90281,0.95364,0.62874,2.30736,1.14852,2.54384,0.0018812,0.0018812,0.0018812
8,1911.4,2.56523,1.37831,2.41508,0.91942,0.90063,0.95843,0.62187,2.39326,1.13658,2.59372,0.0018614,0.0018614,0.0018614
9,2145.62,2.5372,1.33932,2.39063,0.914,0.91895,0.9617,0.61786,2.34603,1.13167,2.58144,0.0018416,0.0018416,0.0018416
10,2377.34,2.52746,1.3105,2.39547,0.91878,0.90721,0.95842,0.63317,2.41007,1.16063,2.65407,0.0018218,0.0018218,0.0018218
11,2610.74,2.51609,1.30704,2.39639,0.93054,0.91936,0.96957,0.66069,2.2178,1.03956,2.48027,0.001802,0.001802,0.001802
12,2842.38,2.49272,1.28743,2.38911,0.9241,0.93023,0.97062,0.65457,2.18668,0.97513,2.47466,0.0017822,0.0017822,0.0017822
13,3077.28,2.47612,1.26167,2.37381,0.936,0.9298,0.97214,0.66855,2.12991,0.96239,2.40693,0.0017624,0.0017624,0.0017624
14,3311.12,2.46535,1.25105,2.36926,0.93077,0.93118,0.97094,0.65391,2.18257,0.99454,2.48259,0.0017426,0.0017426,0.0017426
15,3542.97,2.45768,1.22523,2.36929,0.92822,0.93256,0.97099,0.6715,2.11302,0.94765,2.40824,0.0017228,0.0017228,0.0017228
16,3777.09,2.44643,1.20999,2.36208,0.9341,0.93108,0.97321,0.65768,2.20347,0.99102,2.45664,0.001703,0.001703,0.001703
17,4010.09,2.42254,1.18923,2.35293,0.92843,0.93347,0.97333,0.67876,2.10853,0.92343,2.4021,0.0016832,0.0016832,0.0016832
18,4246.67,2.39907,1.18253,2.34087,0.92586,0.91987,0.96777,0.65554,2.07661,1.00621,2.39452,0.0016634,0.0016634,0.0016634
19,4483.22,2.40637,1.17892,2.34981,0.93431,0.94444,0.97783,0.68374,2.06235,0.86634,2.36194,0.0016436,0.0016436,0.0016436
20,4715.71,2.38767,1.15734,2.33358,0.94019,0.94043,0.97885,0.68304,2.09236,0.88374,2.38366,0.0016238,0.0016238,0.0016238
21,4952.7,2.39537,1.16333,2.33675,0.94058,0.94064,0.97554,0.68765,2.05074,0.85784,2.33376,0.001604,0.001604,0.001604
22,5189.55,2.37805,1.14294,2.32998,0.94378,0.94634,0.97722,0.67618,2.05037,0.85048,2.36208,0.0015842,0.0015842,0.0015842
23,5422.45,2.37725,1.13677,2.33132,0.93815,0.95677,0.97958,0.6968,2.01303,0.80968,2.32206,0.0015644,0.0015644,0.0015644
24,5657.32,2.36282,1.13193,2.32223,0.94462,0.94755,0.98004,0.69283,2.00262,0.82946,2.31507,0.0015446,0.0015446,0.0015446
25,5894.44,2.35046,1.12663,2.32289,0.9448,0.95626,0.98247,0.70341,1.97711,0.79658,2.3049,0.0015248,0.0015248,0.0015248
26,6129.91,2.34917,1.12323,2.31709,0.94475,0.94619,0.97979,0.69583,2.02586,0.81374,2.33236,0.001505,0.001505,0.001505
27,6364.08,2.34412,1.10812,2.3154,0.95065,0.95225,0.98297,0.70584,1.95233,0.76018,2.27574,0.0014852,0.0014852,0.0014852
28,6598.74,2.32641,1.09179,2.30863,0.94632,0.95976,0.98295,0.70934,1.94846,0.75136,2.27168,0.0014654,0.0014654,0.0014654
29,6835.25,2.32329,1.0932,2.29691,0.94707,0.95327,0.9828,0.70461,1.9559,0.76857,2.26416,0.0014456,0.0014456,0.0014456
30,7069.7,2.33153,1.10286,2.30728,0.94663,0.957,0.98286,0.70462,1.94814,0.75112,2.26434,0.0014258,0.0014258,0.0014258
31,7306.11,2.30522,1.08325,2.3009,0.9543,0.95655,0.98424,0.70896,1.93577,0.72984,2.26004,0.001406,0.001406,0.001406
