epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.024,3.2806,2.85472,2.90896,0.42742,0.3964,0.33469,0.13704,4.01477,4.42917,4.01617,0.0700422,0.00332865,0.00332865
2,552.108,3.17292,2.32723,2.89793,0.71568,0.4979,0.59458,0.28023,3.67051,3.65726,3.89389,0.0399762,0.00659602,0.00659602
3,820.63,3.07009,2.13117,2.85082,0.83923,0.73177,0.84179,0.48534,2.90386,2.63168,3.24251,0.00984429,0.0097974,0.0097974
4,1088.18,2.96156,1.93613,2.78267,0.81375,0.73462,0.82822,0.46752,2.97311,2.31886,3.25901,0.009703,0.009703,0.009703
5,1356.06,2.92429,1.84251,2.75572,0.85021,0.82983,0.90507,0.54463,2.63812,1.78356,3.03709,0.009604,0.009604,0.009604
6,1626.41,2.88548,1.77571,2.73579,0.8705,0.85277,0.91977,0.56829,2.65916,1.66519,2.9942,0.009505,0.009505,0.009505
7,1894.13,2.8382,1.69786,2.70839,0.88474,0.84616,0.91989,0.57195,2.69746,1.69327,3.12483,0.009406,0.009406,0.009406
8,2161.07,2.79877,1.65756,2.6927,0.88953,0.84806,0.92746,0.58076,2.57948,1.52631,2.96953,0.009307,0.009307,0.009307
9,2427.01,2.78682,1.62688,2.69077,0.86813,0.83177,0.91209,0.57491,2.6362,1.62298,3.02303,0.009208,0.009208,0.009208
10,2695.51,2.765,1.58484,2.67932,0.89272,0.87234,0.94084,0.58952,2.55195,1.4471,2.97311,0.009109,0.009109,0.009109
11,2960.25,2.77328,1.59723,2.69399,0.90012,0.891,0.9505,0.60673,2.46981,1.34344,2.89572,0.00901,0.00901,0.00901
12,3225.7,2.73757,1.56412,2.67698,0.90122,0.89934,0.94886,0.60624,2.47196,1.34749,2.91361,0.008911,0.008911,0.008911
13,3490.5,2.73382,1.55922,2.66838,0.91416,0.89253,0.94966,0.6069,2.47428,1.30545,2.85766,0.008812,0.008812,0.008812
14,3755.88,2.7216,1.52616,2.66188,0.91454,0.8859,0.95367,0.61071,2.47945,1.32644,2.90721,0.008713,0.008713,0.008713
