epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10992.8,3.50876,2.70725,3.25596,0.82978,0.67241,0.73345,0.40476,3.69327,4.53136,3.9877,0.00624721,0.00624721,0.00624721
44,11235.9,3.48056,2.67164,3.23595,0.82665,0.68247,0.77019,0.39032,3.54672,4.20968,3.89687,0.00609463,0.00609463,0.00609463
45,11473.2,3.4881,2.68667,3.25192,0.73009,0.58727,0.70169,0.37206,3.85934,6.3309,4.09796,0.00594097,0.00594097,0.00594097
46,11734,3.4701,2.6474,3.22899,0.76932,0.63899,0.719,0.38177,3.45577,8.86048,3.81392,0.00578639,0.00578639,0.00578639
47,11999.6,3.47225,2.66146,3.23343,0.82802,0.70531,0.79072,0.43591,3.37259,4.01112,3.81721,0.00563104,0.00563104,0.00563104
48,12239.2,3.45481,2.63311,3.21931,0.81631,0.6117,0.73082,0.37571,3.51909,3.41052,3.77546,0.00547507,0.00547507,0.00547507
49,12485.9,3.45897,2.63808,3.21485,0.80908,0.6998,0.79354,0.42854,3.34349,5.83517,3.70128,0.00531864,0.00531864,0.00531864
50,12746.1,3.45958,2.61669,3.22121,0.80987,0.72127,0.81096,0.45897,3.19777,3.86936,3.56991,0.0051619,0.0051619,0.0051619
51,12997.5,3.44472,2.58774,3.2125,0.813,0.71165,0.78925,0.43349,3.438,2.99706,3.75358,0.005005,0.005005,0.005005
52,13238.7,3.42463,2.58985,3.19674,0.8463,0.7178,0.8144,0.46237,3.34088,3.09927,3.7367,0.0048481,0.0048481,0.0048481
53,13478.1,3.41198,2.54837,3.18237,0.83522,0.70547,0.79742,0.43524,3.46111,3.58573,3.71756,0.00469136,0.00469136,0.00469136
54,13745,3.42452,2.57554,3.2096,0.82778,0.73976,0.82484,0.46975,3.0694,2.75535,3.49412,0.00453493,0.00453493,0.00453493
55,14007.7,3.40108,2.54465,3.19798,0.82448,0.73352,0.8149,0.45729,3.12205,2.74219,3.53251,0.00437896,0.00437896,0.00437896
56,14269.6,3.40181,2.52661,3.18899,0.84505,0.7142,0.80916,0.45639,3.20739,3.10585,3.60853,0.00422361,0.00422361,0.00422361
57,14517.1,3.40611,2.53866,3.19757,0.85267,0.74016,0.8371,0.4727,3.29342,2.66275,3.63466,0.00406903,0.00406903,0.00406903
58,14757.4,3.37726,2.50035,3.16702,0.83256,0.7515,0.83925,0.47361,3.1337,2.38052,3.50549,0.00391537,0.00391537,0.00391537
59,15000.4,3.37585,2.50782,3.16143,0.85363,0.75948,0.84398,0.48237,3.09963,2.74217,3.51737,0.00376279,0.00376279,0.00376279
60,15242.7,3.37213,2.49333,3.16226,0.84512,0.73126,0.83042,0.47366,3.30109,2.64783,3.64126,0.00361144,0.00361144,0.00361144
61,15490.7,3.35126,2.4516,3.14609,0.83966,0.75636,0.84249,0.48351,3.13302,2.47475,3.51687,0.00346146,0.00346146,0.00346146
62,15755.9,3.34919,2.456,3.13936,0.84216,0.74738,0.83761,0.47581,3.18952,2.81014,3.57386,0.003313,0.003313,0.003313
63,16010.8,3.32969,2.43068,3.13633,0.83821,0.75128,0.84316,0.48337,3.07748,2.4965,3.4922,0.00316622,0.00316622,0.00316622
64,16265,3.34384,2.43519,3.13749,0.84979,0.77136,0.85922,0.49286,3.09195,2.60881,3.50538,0.00302125,0.00302125,0.00302125
65,16506,3.33514,2.4285,3.1298,0.8577,0.74825,0.83932,0.48386,3.15083,2.44442,3.53439,0.00287823,0.00287823,0.00287823
66,16748.5,3.31982,2.41832,3.12007,0.85026,0.77282,0.85556,0.49644,3.08179,2.38508,3.50241,0.00273732,0.00273732,0.00273732
67,16984.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00259864,0.00259864,0.00259864
68,17218.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00246234,0.00246234,0.00246234
69,17453.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00232855,0.00232855,0.00232855
70,17689.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00219739,0.00219739,0.00219739
71,17926.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00206901,0.00206901,0.00206901
72,18161.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00194353,0.00194353,0.00194353
73,18396.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00182107,0.00182107,0.00182107
74,18631.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00170175,0.00170175,0.00170175
75,18869.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00158569,0.00158569,0.00158569
76,19106.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001473,0.001473,0.001473
77,19344.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0013638,0.0013638,0.0013638
78,19581,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0012582,0.0012582,0.0012582
79,19823.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00115629,0.00115629,0.00115629
80,20063.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00105818,0.00105818,0.00105818
81,20306.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00096396,0.00096396,0.00096396
82,20547.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000873733,0.000873733,0.000873733
83,20788.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000787582,0.000787582,0.000787582
84,21029.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000705594,0.000705594,0.000705594
85,21268.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000627848,0.000627848,0.000627848
86,21505.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000554422,0.000554422,0.000554422
