epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.472,4.42554,4.99278,4.3539,0.00081,0.05752,0.00045,0.00014,9.43624,256.643,14.5442,0.0700422,0.00332865,0.00332865
2,556.094,4.13842,4.27956,4.06906,0.00212,0.07407,0.00122,0.0005,8.29059,inf,14.9703,0.0399762,0.00659602,0.00659602
3,822.601,4.10214,4.10938,4.02731,1e-05,7e-05,0,0,6.67996,12.9278,8.38926,0.00984429,0.0097974,0.0097974
4,1091.67,4.01014,3.8029,3.89708,0.50066,0.25343,0.25956,0.09012,6.36278,10.5855,10.5128,0.009703,0.009703,0.009703
5,1361.96,3.98446,3.76909,3.84875,0.52389,0.33931,0.32118,0.09931,6.3493,12.2056,6.15456,0.009604,0.009604,0.009604
6,1634.14,3.92805,3.67933,3.80876,0.44181,0.33683,0.31151,0.10499,4.90597,9.36589,5.23812,0.009505,0.009505,0.009505
7,1902,3.89495,3.55876,3.75188,0.49382,0.40493,0.34333,0.15233,4.71189,7.06658,5.0458,0.009406,0.009406,0.009406
8,2169.51,3.85441,3.52462,3.73703,0.69466,0.49062,0.58933,0.27336,4.12312,53.2567,4.70428,0.009307,0.009307,0.009307
9,2433.53,3.86292,3.52528,3.75088,0.06517,0.55322,0.05407,0.02515,4.86777,70.5912,5.28675,0.009208,0.009208,0.009208
10,2698.48,3.83493,3.49791,3.72516,0.0006,0.00124,0.00013,2e-05,9.61504,72.8249,9.79717,0.009109,0.009109,0.009109
11,2960.5,3.81913,3.50351,3.72378,0.17537,0.14213,0.08793,0.04025,5.3629,7.79271,5.59324,0.00901,0.00901,0.00901
12,3225.1,3.82772,3.41468,3.70967,0.7123,0.49358,0.55132,0.23354,5.75069,nan,5.81151,0.008911,0.008911,0.008911
13,3489.78,3.82993,3.49478,3.71367,0.71044,0.5436,0.5965,0.24026,4.90176,inf,5.28598,0.008812,0.008812,0.008812
14,3755.81,3.82022,3.42045,3.70904,0.38654,0.22849,0.17795,0.04965,5.30022,inf,5.61183,0.008713,0.008713,0.008713
15,4026.67,3.80805,3.39031,3.70003,0.76199,0.54396,0.61737,0.27764,5.45593,23.8751,6.38292,0.008614,0.008614,0.008614
16,4295.09,3.78876,3.35796,3.67769,0.60424,0.42377,0.40842,0.11803,6.0468,7.99943,6.96341,0.008515,0.008515,0.008515
17,4564.78,3.78402,3.3546,3.69084,0.65374,0.27406,0.29714,0.11641,5.98492,7.90337,6.18826,0.008416,0.008416,0.008416
18,4825.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008317,0.008317,0.008317
19,5086.33,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008218,0.008218,0.008218
20,5349.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008119,0.008119,0.008119
21,5609.49,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00802,0.00802,0.00802
22,5866.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007921,0.007921,0.007921
23,6125.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007822,0.007822,0.007822
24,6383.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007723,0.007723,0.007723
25,6640.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007624,0.007624,0.007624
26,6898.44,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007525,0.007525,0.007525
27,7153.69,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007426,0.007426,0.007426
28,7409.79,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007327,0.007327,0.007327
29,7665.03,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007228,0.007228,0.007228
30,7918.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007129,0.007129,0.007129
31,8174.74,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00703,0.00703,0.00703
32,8429.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006931,0.006931,0.006931
33,8683.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006832,0.006832,0.006832
34,8942.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006733,0.006733,0.006733
35,9195.96,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006634,0.006634,0.006634
