epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11445.8,2.15717,0.95953,2.19351,0.9551,0.97238,0.98668,0.7388,1.73194,0.60808,2.06985,0.005842,0.005842,0.005842
44,11710.6,2.16511,0.95302,2.20178,0.95962,0.97251,0.98767,0.73894,1.74041,0.60514,2.07828,0.005743,0.005743,0.005743
45,11977.6,2.15607,0.95098,2.19547,0.96614,0.9669,0.98718,0.74155,1.71929,0.59562,2.06393,0.005644,0.005644,0.005644
46,12244.2,2.15508,0.94536,2.19122,0.95912,0.97003,0.98704,0.74063,1.72121,0.60124,2.06437,0.005545,0.005545,0.005545
47,12513.7,2.14935,0.93285,2.19408,0.9618,0.97462,0.98767,0.74241,1.71575,0.59168,2.06416,0.005446,0.005446,0.005446
48,12778.4,2.14094,0.92987,2.18765,0.95971,0.97596,0.9871,0.74419,1.70862,0.5869,2.05577,0.005347,0.005347,0.005347
49,13044.1,2.1286,0.9241,2.18657,0.96192,0.97339,0.98734,0.74361,1.70966,0.58772,2.06009,0.005248,0.005248,0.005248
50,13309.5,2.1409,0.92781,2.19342,0.96154,0.9755,0.9876,0.74369,1.70009,0.58628,2.05727,0.005149,0.005149,0.005149
51,13571.4,2.12834,0.92153,2.18734,0.96235,0.97273,0.98733,0.74502,1.69476,0.58097,2.05466,0.00505,0.00505,0.00505
52,13836.9,2.11791,0.91526,2.18462,0.96039,0.97631,0.98746,0.74763,1.68433,0.57533,2.04824,0.004951,0.004951,0.004951
53,14103,2.11479,0.90717,2.17414,0.96078,0.9747,0.98753,0.74829,1.68088,0.57643,2.04401,0.004852,0.004852,0.004852
54,14366.5,2.12085,0.91452,2.18263,0.96069,0.97579,0.98729,0.74687,1.68374,0.57511,2.04571,0.004753,0.004753,0.004753
55,14631.6,2.1065,0.90587,2.17066,0.9629,0.97412,0.98754,0.74827,1.68167,0.57421,2.0421,0.004654,0.004654,0.004654
56,14901.8,2.10019,0.90345,2.17102,0.96405,0.97373,0.98773,0.75022,1.67794,0.569,2.03723,0.004555,0.004555,0.004555
57,15168,2.09133,0.89612,2.17004,0.96528,0.97237,0.98771,0.75208,1.66716,0.5664,2.03159,0.004456,0.004456,0.004456
58,15434.7,2.08608,0.88943,2.16385,0.96409,0.97682,0.98815,0.75201,1.66058,0.56186,2.02399,0.004357,0.004357,0.004357
59,15701,2.08184,0.89003,2.16819,0.96064,0.97849,0.98811,0.75274,1.65804,0.55976,2.02448,0.004258,0.004258,0.004258
60,15966.9,2.09117,0.89337,2.1678,0.96361,0.97638,0.98828,0.75248,1.65483,0.55833,2.02297,0.004159,0.004159,0.004159
61,16235.5,2.07434,0.87552,2.15336,0.96127,0.97726,0.98813,0.75371,1.65093,0.55678,2.01879,0.00406,0.00406,0.00406
62,16498.9,2.06056,0.87899,2.15017,0.96133,0.97711,0.98823,0.75382,1.65009,0.55684,2.01768,0.003961,0.003961,0.003961
63,16762.9,2.06816,0.87833,2.15585,0.96275,0.97645,0.98827,0.75455,1.6497,0.55385,2.0177,0.003862,0.003862,0.003862
64,17032.5,2.0593,0.87418,2.14913,0.96396,0.97512,0.98781,0.75514,1.64426,0.55301,2.01434,0.003763,0.003763,0.003763
65,17299.4,2.06727,0.87442,2.15853,0.96656,0.9736,0.98812,0.75558,1.64058,0.55183,2.01442,0.003664,0.003664,0.003664
66,17565.7,2.04276,0.862,2.14271,0.9662,0.97281,0.98835,0.75606,1.64056,0.54986,2.0127,0.003565,0.003565,0.003565
67,17830.2,2.04046,0.86119,2.14445,0.96369,0.97754,0.98809,0.7556,1.63918,0.55048,2.01175,0.003466,0.003466,0.003466
68,263.029,2.02161,0.84158,2.12707,0.9655,0.97528,0.98836,0.75661,1.63503,0.54599,2.01091,0.003367,0.003367,0.003367
69,521.362,2.02707,0.85056,2.13816,0.96427,0.9774,0.98826,0.75652,1.63427,0.5457,2.01034,0.003268,0.003268,0.003268
70,776.083,2.03273,0.85497,2.13507,0.96274,0.97965,0.98853,0.75722,1.63173,0.54235,2.00733,0.003169,0.003169,0.003169
71,1030.29,2.02253,0.83949,2.13598,0.96366,0.97817,0.98848,0.7578,1.62972,0.54077,2.00689,0.00307,0.00307,0.00307
72,1284.65,2.02728,0.84357,2.13371,0.96505,0.97849,0.98848,0.75759,1.62976,0.54079,2.00668,0.002971,0.002971,0.002971
73,1542.55,2.02084,0.84109,2.12578,0.96381,0.9786,0.98846,0.75831,1.62699,0.54037,2.00389,0.002872,0.002872,0.002872
74,1801.27,2.01023,0.83478,2.12664,0.96414,0.97922,0.98839,0.7588,1.62505,0.53911,2.00301,0.002773,0.002773,0.002773
75,2055.72,1.99916,0.83248,2.12459,0.96447,0.97966,0.98856,0.7594,1.62145,0.53716,2.00175,0.002674,0.002674,0.002674
76,2309.79,1.9936,0.82196,2.11911,0.96489,0.97893,0.98854,0.75931,1.62061,0.53611,2.00049,0.002575,0.002575,0.002575
77,2563.29,1.9919,0.82315,2.11553,0.96489,0.97871,0.98849,0.75925,1.6193,0.53735,1.99918,0.002476,0.002476,0.002476
78,2817.87,1.99782,0.82887,2.12446,0.96593,0.97798,0.98855,0.75966,1.61796,0.53587,1.99833,0.002377,0.002377,0.002377
79,3071.96,1.97704,0.82306,2.11487,0.9664,0.97747,0.98858,0.76005,1.61452,0.53547,1.99672,0.002278,0.002278,0.002278
80,3326.22,1.97746,0.81797,2.11067,0.96606,0.97908,0.98856,0.76061,1.61312,0.53386,1.99546,0.002179,0.002179,0.002179
81,3579.8,1.97742,0.81692,2.11126,0.9649,0.98014,0.9884,0.76055,1.61152,0.53262,1.99441,0.00208,0.00208,0.00208
82,3834.07,1.96405,0.80529,2.10899,0.96751,0.97689,0.98838,0.7608,1.61097,0.53235,1.99428,0.001981,0.001981,0.001981
83,4089.13,1.96775,0.80786,2.10375,0.96948,0.97521,0.98852,0.76104,1.60975,0.53201,1.99356,0.001882,0.001882,0.001882
84,4347.26,1.95769,0.80164,2.10932,0.96518,0.98013,0.98841,0.76121,1.60819,0.53134,1.99234,0.001783,0.001783,0.001783
85,4606.07,1.95012,0.80511,2.09433,0.96695,0.97805,0.98834,0.76134,1.60737,0.53058,1.99145,0.001684,0.001684,0.001684
86,4866.52,1.95079,0.79535,2.09951,0.96308,0.98265,0.98836,0.7617,1.60603,0.53053,1.99071,0.001585,0.001585,0.001585
87,5125.46,1.93637,0.78954,2.09465,0.9645,0.98242,0.9886,0.76159,1.60584,0.52912,1.99027,0.001486,0.001486,0.001486
88,5384.89,1.93527,0.78884,2.09639,0.96394,0.98224,0.98848,0.76153,1.60483,0.5292,1.9894,0.001387,0.001387,0.001387
89,5644.6,1.9278,0.78381,2.08893,0.96515,0.98128,0.98872,0.7623,1.60387,0.52787,1.98854,0.001288,0.001288,0.001288
90,5904.6,1.92054,0.78048,2.08995,0.96545,0.98198,0.98845,0.76215,1.60305,0.52806,1.98788,0.001189,0.001189,0.001189
91,6154,1.931,0.66754,2.11384,0.96602,0.98075,0.98858,0.76282,1.60175,0.52691,1.98677,0.00109,0.00109,0.00109
92,6400.71,1.91627,0.65337,2.10741,0.96828,0.97842,0.98862,0.7632,1.60038,0.52657,1.98554,0.000991,0.000991,0.000991
93,6647.83,1.90949,0.65101,2.11097,0.96672,0.98049,0.98861,0.76307,1.59864,0.52683,1.98445,0.000892,0.000892,0.000892
94,6894.19,1.89857,0.64613,2.11312,0.96769,0.97959,0.98862,0.76345,1.59729,0.52573,1.98387,0.000793,0.000793,0.000793
95,7141.55,1.88903,0.64339,2.10289,0.96663,0.9809,0.98856,0.76384,1.59585,0.52518,1.98303,0.000694,0.000694,0.000694
96,7389.98,1.88406,0.64226,2.09361,0.96785,0.97903,0.98847,0.76395,1.59484,0.52464,1.98212,0.000595,0.000595,0.000595
97,7635.64,1.8782,0.63635,2.09888,0.96776,0.9798,0.9885,0.7642,1.59375,0.5238,1.98146,0.000496,0.000496,0.000496
98,7882.92,1.86739,0.6346,2.09475,0.96799,0.97901,0.98852,0.76428,1.59285,0.52382,1.98086,0.000397,0.000397,0.000397
99,8128.62,1.86368,0.6284,2.09187,0.96936,0.97769,0.98846,0.7645,1.59192,0.52231,1.98027,0.000298,0.000298,0.000298
100,8376.52,1.85813,0.62816,2.08789,0.9684,0.97886,0.98839,0.7648,1.59108,0.52241,1.9797,0.000199,0.000199,0.000199
