epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.749,2.84228,3.30358,2.59256,0.79506,0.79411,0.85639,0.54446,2.36604,1.69622,2.56633,0.0700422,0.00332865,0.00332865
2,531.985,2.72444,1.95649,2.48807,0.856,0.82299,0.90277,0.54885,2.48035,1.59985,2.64638,0.0399756,0.00659537,0.00659537
3,790.988,2.80924,1.89243,2.54984,0.85378,0.83326,0.90387,0.55039,2.57457,1.9064,2.8341,0.00984231,0.00979543,0.00979543
4,1047.97,2.81975,1.81043,2.56822,0.85147,0.80942,0.89938,0.54147,2.67157,1.74099,2.8002,0.00970003,0.00970003,0.00970003
5,1305.41,2.72794,1.65167,2.51455,0.88339,0.87594,0.93853,0.61242,2.34011,1.35519,2.61246,0.00960004,0.00960004,0.00960004
6,1563.87,2.66985,1.55217,2.48177,0.88584,0.88867,0.94894,0.61345,2.40934,1.23618,2.66397,0.00950005,0.00950005,0.00950005
7,1821.71,2.6146,1.45533,2.45371,0.91148,0.90172,0.95504,0.62714,2.29057,1.13533,2.5641,0.00940006,0.00940006,0.00940006
8,2086.42,2.56881,1.40579,2.4303,0.91346,0.91222,0.96294,0.63863,2.21383,1.05878,2.47163,0.00930007,0.00930007,0.00930007
9,2350.2,2.53807,1.34642,2.42012,0.9195,0.92354,0.96755,0.65595,2.17095,0.99677,2.43644,0.00920008,0.00920008,0.00920008
10,2613.24,2.50587,1.31012,2.39224,0.92458,0.92235,0.97029,0.6667,2.1113,0.93767,2.40179,0.00910009,0.00910009,0.00910009
11,2873.93,2.49137,1.29751,2.38755,0.92734,0.92629,0.97089,0.66392,2.12759,0.93617,2.38654,0.0090001,0.0090001,0.0090001
12,3138.56,2.46251,1.26531,2.36759,0.93104,0.93409,0.97563,0.6783,2.04014,0.90103,2.35728,0.00890011,0.00890011,0.00890011
13,3405.57,2.43898,1.23544,2.36142,0.9313,0.93591,0.97442,0.68247,2.05062,0.88294,2.35542,0.00880012,0.00880012,0.00880012
14,3671.58,2.4316,1.22276,2.34763,0.93771,0.94275,0.97802,0.68584,2.03734,0.85143,2.32295,0.00870013,0.00870013,0.00870013
15,3933.32,2.40074,1.19175,2.33555,0.93903,0.93431,0.97681,0.68443,2.01942,0.85509,2.313,0.00860014,0.00860014,0.00860014
16,4197.5,2.39293,1.17864,2.32101,0.93816,0.94561,0.97874,0.6822,2.03701,0.8279,2.33057,0.00850015,0.00850015,0.00850015
17,4459.71,2.37029,1.16448,2.31972,0.93838,0.94802,0.97969,0.6932,1.98086,0.79035,2.26991,0.00840016,0.00840016,0.00840016
18,4722.83,2.36625,1.14681,2.30653,0.94225,0.94656,0.98041,0.69764,1.95914,0.78867,2.25553,0.00830017,0.00830017,0.00830017
19,4986.57,2.35204,1.13188,2.30135,0.93994,0.95508,0.98241,0.70134,1.94546,0.75924,2.24714,0.00820018,0.00820018,0.00820018
20,5246.97,2.32933,1.11892,2.29093,0.9453,0.95253,0.98234,0.70609,1.92299,0.75037,2.22904,0.00810019,0.00810019,0.00810019
21,5501.8,2.32597,1.10911,2.29631,0.94358,0.94824,0.98166,0.70234,1.93521,0.75119,2.25057,0.0080002,0.0080002,0.0080002
22,5759.36,2.31357,1.09373,2.28668,0.94555,0.95579,0.98271,0.71067,1.89399,0.72721,2.21054,0.00790021,0.00790021,0.00790021
23,6017.03,2.3087,1.08925,2.2816,0.94967,0.95604,0.98323,0.71067,1.88421,0.71816,2.18926,0.00780022,0.00780022,0.00780022
24,6279.47,2.30031,1.08183,2.27228,0.94821,0.95967,0.98398,0.71029,1.89671,0.71744,2.19737,0.00770023,0.00770023,0.00770023
25,6539.24,2.29109,1.07828,2.28086,0.94136,0.96129,0.98338,0.71302,1.87571,0.71365,2.19778,0.00760024,0.00760024,0.00760024
26,6795.25,2.29157,1.06984,2.279,0.95359,0.95735,0.98529,0.71911,1.85355,0.68976,2.19121,0.00750025,0.00750025,0.00750025
27,7048.86,2.27128,1.0561,2.26708,0.95451,0.9572,0.98528,0.71779,1.85697,0.69261,2.18829,0.00740026,0.00740026,0.00740026
28,7300.91,2.26276,1.04501,2.26125,0.9507,0.95801,0.98453,0.71889,1.83885,0.68559,2.17037,0.00730027,0.00730027,0.00730027
29,7554.21,2.26511,1.04612,2.24999,0.95213,0.96165,0.98543,0.72368,1.83341,0.67239,2.16499,0.00720028,0.00720028,0.00720028
30,7808.22,2.24702,1.0321,2.25533,0.95241,0.96148,0.98527,0.72215,1.83218,0.67912,2.16548,0.00710029,0.00710029,0.00710029
31,8061.42,2.23832,1.02449,2.24835,0.95243,0.96198,0.98487,0.72839,1.79956,0.66286,2.13567,0.0070003,0.0070003,0.0070003
32,8314.04,2.23043,1.02187,2.25059,0.95652,0.96231,0.98601,0.72536,1.81281,0.65578,2.14854,0.00690031,0.00690031,0.00690031
33,8564.39,2.22997,1.00791,2.24806,0.95683,0.963,0.98595,0.72599,1.8073,0.64798,2.14344,0.00680032,0.00680032,0.00680032
34,8815.27,2.22099,1.00775,2.23364,0.95496,0.96712,0.98571,0.73016,1.78571,0.64009,2.11948,0.00670033,0.00670033,0.00670033
35,9069.58,2.21065,0.98875,2.2318,0.95137,0.96726,0.98605,0.72893,1.78842,0.64259,2.12866,0.00660034,0.00660034,0.00660034
36,9321.66,2.20722,0.99218,2.23347,0.95598,0.965,0.98589,0.7333,1.76655,0.63681,2.12374,0.00650035,0.00650035,0.00650035
