epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.559,5.41684,6.48144,4.61657,0.00375,0.01174,0.00059,0.00016,7.30682,11.6323,38.9457,0.0767978,0.00994382,0.00994382
2,505.466,4.90218,5.81172,4.31861,0.0044,0.2909,0.0028,0.00083,8.67025,inf,22.1149,0.053265,0.0197444,0.0197444
3,735.529,5.00291,6.05641,4.62489,0,0,0,0,nan,nan,nan,0.0295323,0.029345,0.029345
4,964.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0291001,0.0291001,0.0291001
5,1196.46,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0288001,0.0288001,0.0288001
6,1423.71,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0285001,0.0285001,0.0285001
7,1651.05,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0282002,0.0282002,0.0282002
8,1880.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0279002,0.0279002,0.0279002
9,2108.12,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0276002,0.0276002,0.0276002
10,2335.64,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0273003,0.0273003,0.0273003
11,2561.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0270003,0.0270003,0.0270003
12,2785.33,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0267003,0.0267003,0.0267003
13,3010.42,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0264004,0.0264004,0.0264004
14,3234.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0261004,0.0261004,0.0261004
15,3457.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0258004,0.0258004,0.0258004
16,3681.44,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0255004,0.0255004,0.0255004
17,3905.07,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0252005,0.0252005,0.0252005
18,4127.72,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0249005,0.0249005,0.0249005
19,4350.82,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0246005,0.0246005,0.0246005
20,4574.05,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0243006,0.0243006,0.0243006
21,4799.26,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0240006,0.0240006,0.0240006
22,5026.27,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0237006,0.0237006,0.0237006
