epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.191,2.94969,3.50972,2.59932,0.73881,0.7072,0.78523,0.4286,2.79279,2.40228,2.91033,0.0767978,0.00994382,0.00994382
2,478.307,2.93917,2.21627,2.58287,0.56773,0.45042,0.493,0.24711,3.43127,6.8101,3.69018,0.053265,0.0197444,0.0197444
3,711.936,3.03554,2.15921,2.68748,0.24389,0.26597,0.11543,0.04938,4.65656,15.4133,5.40781,0.0295323,0.029345,0.029345
4,948.246,2.99555,1.9676,2.69692,0.60277,0.64764,0.56654,0.32285,3.61286,7.79353,3.79682,0.0291001,0.0291001,0.0291001
5,1181.3,2.84421,1.70185,2.60732,0.81566,0.72288,0.79645,0.33479,3.89367,2.48998,3.99808,0.0288001,0.0288001,0.0288001
6,1411.05,2.75978,1.56904,2.55705,0.90272,0.87015,0.94036,0.57586,2.63634,1.47976,2.87166,0.0285001,0.0285001,0.0285001
7,1637.56,2.68324,1.47739,2.51528,0.87615,0.86818,0.91993,0.58238,2.48661,1.52937,2.76543,0.0282002,0.0282002,0.0282002
8,1865.07,2.63644,1.41832,2.49442,0.88447,0.86067,0.93334,0.59895,2.49874,1.59949,2.7531,0.0279002,0.0279002,0.0279002
9,2092.54,2.60518,1.37495,2.47088,0.90304,0.8816,0.94484,0.60357,2.4312,1.21403,2.66193,0.0276002,0.0276002,0.0276002
10,2319.72,2.58604,1.34018,2.45556,0.9034,0.89932,0.95592,0.60315,2.45636,1.15699,2.69973,0.0273003,0.0273003,0.0273003
11,2546.64,2.56024,1.30925,2.44406,0.91152,0.90529,0.95923,0.63778,2.31526,1.04299,2.6155,0.0270003,0.0270003,0.0270003
12,2773.74,2.53063,1.28303,2.42638,0.91466,0.8846,0.95256,0.61208,2.48352,1.28224,2.74119,0.0267003,0.0267003,0.0267003
13,2999.95,2.5081,1.26887,2.41739,0.91992,0.91134,0.9625,0.65108,2.25794,1.04419,2.53223,0.0264004,0.0264004,0.0264004
14,3225.86,2.49679,1.26044,2.41938,0.91664,0.92601,0.96813,0.64443,2.2643,1.00127,2.54047,0.0261004,0.0261004,0.0261004
15,3452.54,2.48205,1.23333,2.41027,0.91467,0.91222,0.95889,0.60781,2.44564,1.1385,2.68239,0.0258004,0.0258004,0.0258004
16,3680.63,2.47433,1.21262,2.38968,0.93583,0.92352,0.97296,0.661,2.15897,0.94545,2.47695,0.0255004,0.0255004,0.0255004
17,3908.41,2.45138,1.19767,2.37438,0.93244,0.92368,0.97308,0.6686,2.13775,0.92757,2.44307,0.0252005,0.0252005,0.0252005
18,4136.94,2.45285,1.19421,2.37825,0.93504,0.926,0.97294,0.65968,2.17717,0.9311,2.45699,0.0249005,0.0249005,0.0249005
19,4365.42,2.43003,1.18522,2.37084,0.93269,0.91222,0.97112,0.66038,2.20094,0.97237,2.50393,0.0246005,0.0246005,0.0246005
20,4591.19,2.42517,1.16292,2.36455,0.93101,0.93934,0.97538,0.66401,2.15419,0.90809,2.44755,0.0243006,0.0243006,0.0243006
21,4817.44,2.41901,1.16768,2.36918,0.93691,0.93147,0.97366,0.67897,2.07594,0.87092,2.38534,0.0240006,0.0240006,0.0240006
22,5043.32,2.40527,1.15342,2.3564,0.93319,0.93453,0.9764,0.6738,2.082,0.87608,2.39013,0.0237006,0.0237006,0.0237006
23,5268.78,2.39044,1.1455,2.35305,0.94376,0.93466,0.97824,0.68916,2.06175,0.8424,2.36704,0.0234007,0.0234007,0.0234007
24,5494.1,2.38826,1.13984,2.34966,0.94047,0.9373,0.97718,0.68063,2.06346,0.86166,2.40785,0.0231007,0.0231007,0.0231007
25,5719.06,2.37584,1.12388,2.33882,0.94221,0.94036,0.9767,0.68714,2.02224,0.82028,2.3319,0.0228007,0.0228007,0.0228007
26,5947.02,2.37756,1.12861,2.34121,0.94421,0.94403,0.97918,0.6863,2.05793,0.80852,2.3432,0.0225007,0.0225007,0.0225007
27,6174.86,2.37132,1.11437,2.33507,0.94845,0.94014,0.97898,0.69623,1.98925,0.78565,2.32023,0.0222008,0.0222008,0.0222008
28,6429.59,2.36439,1.11606,2.32871,0.93782,0.93606,0.97572,0.65692,2.2264,0.86635,2.47358,0.0219008,0.0219008,0.0219008
29,6659.28,2.35515,1.10328,2.32908,0.94528,0.94751,0.98153,0.69839,1.97403,0.76605,2.29272,0.0216008,0.0216008,0.0216008
30,6888.36,2.34905,1.09959,2.32548,0.94095,0.95149,0.98059,0.69326,1.99266,0.76883,2.32184,0.0213009,0.0213009,0.0213009
31,7116.83,2.34439,1.09142,2.32,0.94862,0.95188,0.98215,0.69869,1.94596,0.73569,2.26869,0.0210009,0.0210009,0.0210009
32,7346.74,2.32953,1.08038,2.31781,0.94699,0.95246,0.981,0.70032,1.95086,0.74832,2.26489,0.0207009,0.0207009,0.0207009
33,7574.86,2.32735,1.0739,2.31614,0.95008,0.95198,0.98291,0.70053,1.9652,0.73643,2.2939,0.020401,0.020401,0.020401
34,7802.83,2.31768,1.08036,2.30666,0.95221,0.95356,0.98354,0.71351,1.89735,0.71648,2.23994,0.020101,0.020101,0.020101
35,8031.47,2.3008,1.06529,2.29281,0.94781,0.95856,0.98256,0.71199,1.90453,0.71908,2.23748,0.019801,0.019801,0.019801
36,8255.89,2.30593,1.05908,2.29585,0.95329,0.96172,0.98464,0.71617,1.88703,0.69864,2.21252,0.019501,0.019501,0.019501
37,8484.37,2.31525,1.05219,2.29636,0.95113,0.96214,0.98394,0.71804,1.87109,0.69319,2.23253,0.0192011,0.0192011,0.0192011
38,8710.01,2.29085,1.05347,2.2901,0.94361,0.96063,0.98359,0.7152,1.86618,0.70214,2.19243,0.0189011,0.0189011,0.0189011
39,8935.94,2.30503,1.05418,2.2904,0.95782,0.94904,0.98402,0.71977,1.86036,0.68926,2.20559,0.0186011,0.0186011,0.0186011
40,9162.96,2.28389,1.04059,2.28405,0.95348,0.95997,0.98386,0.72054,1.84212,0.67554,2.18663,0.0183012,0.0183012,0.0183012
41,9389.03,2.28576,1.04493,2.29082,0.94992,0.95843,0.98434,0.71299,1.87839,0.69528,2.21053,0.0180012,0.0180012,0.0180012
42,9616.12,2.27518,1.03209,2.27778,0.95577,0.96063,0.98589,0.72272,1.84273,0.66799,2.1889,0.0177012,0.0177012,0.0177012
43,9843.33,2.26414,1.02228,2.27569,0.95793,0.95815,0.98537,0.724,1.84543,0.66514,2.19065,0.0174013,0.0174013,0.0174013
